reader(2)  get:8   start:140.37765   end:140.95297 
reader(3)  get:8   start:140.32939   end:140.96992 
reader(8)  get:8   start:139.28445   end:141.25076 
reader(6)  get:8   start:141.11578   end:141.38801 
reader(4)  get:8   start:140.84274   end:141.60101 
reader(7)  get:8   start:141.11675   end:141.92807 
reader(3)  get:8   start:142.21318   end:142.32255 
reader(8)  get:8   start:142.14604   end:142.49027 
reader(5)  get:8   start:141.22953   end:143.26986 
reader(3)  get:8   start:142.83792   end:143.54929 
reader(1)  get:8   start:141.81080   end:143.83813 
reader(2)  get:8   start:141.80727   end:143.87342 
reader(7)  get:8   start:142.50140   end:143.88467 
reader(4)  get:8   start:143.33132   end:144.13646 
reader(6)  get:8   start:143.33922   end:144.45849 
reader(3)  get:8   start:143.56552   end:144.94171 
reader(8)  get:8   start:144.05344   end:145.49564 
reader(4)  get:8   start:145.26063   end:145.69889 
reader(5)  get:8   start:145.06208   end:145.72525 
reader(1)  get:8   start:145.02334   end:145.85072 
reader(3)  get:8   start:145.55085   end:146.15304 
reader(2)  get:8   start:144.90067   end:146.76488 
reader(6)  get:8   start:144.85278   end:146.82717 
reader(6)  get:8   start:146.94644   end:147.64861 
reader(3)  get:8   start:146.58218   end:147.68143 
reader(7)  get:8   start:145.80393   end:147.69347 
reader(4)  get:8   start:146.93226   end:147.86850 
reader(8)  get:8   start:146.49100   end:148.51037 
reader(4)  get:8   start:148.23171   end:148.62384 
reader(7)  get:8   start:148.06770   end:148.67809 
reader(5)  get:8   start:146.67158   end:148.76821 
reader(2)  get:8   start:147.19937   end:148.84074 
reader(1)  get:8   start:147.04913   end:149.06040 
reader(7)  get:8   start:148.92137   end:149.43076 
reader(5)  get:8   start:149.90336   end:150.02302 
reader(7)  get:8   start:150.17787   end:150.75213 
reader(2)  get:8   start:150.23799   end:151.07320 
reader(4)  get:8   start:150.25804   end:151.26134 
